"FINVOICE IMPLEMENTATION GUIDELINES VERSION 3.0 DATA LIST 17.12.2020","","","","","","","","",""
"","","","","","","","","",""
"","General definitions","","","","","","","",""
"","","Mult.","Definition","","","","","",""
"","blank","1","Mandatory, occures once","","","","","",""
"","?","0..1","Not mandatory, but may occur only once","","","","","",""
"","+","1..n","Mandatory at least once. May occur several times","","","","","",""
"","*","0..n","Not mandatory, but may occur several times","","","","","",""
"","Datatype definitions","Schema name","Definition","","","","","",""
"","string","xs:string","Set of all possible strings composed of any character allowed in a XML 1.0 document without any treatment done on whitespaces.","","","","","",""
"","token","xs:token","Strings after whitespace replacement--i.e., after any occurrence of #x9 (tab), #xA (linefeed), and #xD (carriage return) is replaced by an occurrence of #x20 (space) and collapsing (i.e., the contiguous occurrences of spaces are replaced by a single space, and leading and trailing spaces are removed).","","","","","",""
"","nmtoken","xs:NMTOKEN","Tokens composed of characters, digits, ""."", "":"", ""-"", and the characters defined by Unicode, such as ""combining"" or ""extender"". So no spaces or commas, e.g., are allowed","","","","","",""
"","percentage","percentage","[1-9]?[0-9]{1,2}(,[0-9]{1,3})?","","","","","",""
"","exchangeRate","exchangeRate","[0-9]{1,15}(,[0-9]{1,6})?","","","","","",""
"","amount","amount","-?[0-9]{1,15}(,[0-9]{2,5})?","","","","","",""
"","epiAmount","epiAmount","-?[0-9]{1,15},[0-9]{2}","","","","","",""
"","unitAmount","unitAmount","-?[0-9]{1,15}(,[0-9]{2,5})?","","","","","",""
"","unitCodeUN","unitCodeUN","[A-Z0-9]{2,3}  The unit of measure shall be chosen from the lists in UN/ECE Recommendation N°. 20 ""Codes for Units of Measure Used in International Trade"" and UN/ECE Recommendation N° 21 ""Codes for Passengers, Types of Cargo, Packages and Packaging Materials (with Complementary Codes for Package Names)"" applying the method described in UN/ECE Rec N° 20 Intro 2.a)","","","","","",""
"","date","date","[0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9]    (type xs:integer)","","","","","",""
"","dateTime","xs:dateTime","Timestamp (date, time and time zone), e.g. 2017-08-11T12:40:57+03:00","","","","","",""
"","Anything","any","Elements are defined outside Finvoice schema.","","","","","",""
"","iso6523cid","iso6523cid","ISO 6523 scheme identifier, https://www.iso.org/standard/25773.html","","","","","",""
"","untdid1001","untdid1001","UN/EDIFACT Document name code, http://www.unece.org/fileadmin/DAM/trade/untdid/d16b/tred/tred1001.htm","","","","","",""
"","untdid1153","untdid1153","UN/EDIFACT Reference code qualifier, http://www.unece.org/fileadmin/DAM/trade/untdid/d16b/tred/tred1153.htm","","","","","",""
"","untdid2005","untdid2005","UN/EDIFACT Date or time or period function code qualifier, http://www.unece.org/fileadmin/DAM/trade/untdid/d16b/tred/tred2005.htm","","","","","",""
"","untdid4461","untdid4461","UN/EDIFACT Payment means code, http://www.unece.org/fileadmin/DAM/trade/untdid/d16b/tred/tred4461.htm","","","","","",""
"","untdid5189","untdid5189","UN/EDIFACT Allowance or charge identification code, http://www.unece.org/fileadmin/DAM/trade/untdid/d16b/tred/tred5189.htm","","","","","",""
"","untdid5305","untdid5305","UN/EDIFACT Duty or tax or fee category code, http://www.unece.org/fileadmin/DAM/trade/untdid/d16b/tred/tred5305.htm","","","","","",""
"","untdid7143","untdid7143","UN/EDIFACT Item type identification code, http://www.unece.org/fileadmin/DAM/trade/untdid/d16b/tred/tred7143.htm","","","","","",""
"","untdid7161","untdid7161","UN/EDIFACT Special service description code, http://www.unece.org/fileadmin/DAM/trade/untdid/d16b/tred/tred7161.htm","","","","","",""
"","Country codes","xs:NMTOKEN","ISO 3166-1: https://www.iso.org/obp/ui/#search/code/","","","","","",""
"","VatExReasonCodeType","VatExReasonCodeType","[A-Za-z0-9\-]{1,20}","","","","","",""
"","","","","","","","","",""
"","Attribute definitions","","","","","","","",""
"","","","","","",""," ","",""
"Level","Element name","Type","HasAttribute","Length","Occurs","Description and Example ","EN16931","Proposal for common title in Finnish",""
"Root","Finvoice","Aggr.","Yes","","1","","","",""
"","Attribute: Version","Enum.","","","1","1.3, 2.0, 2.01 or 3.0","","",""
"1","MessageTransmissionDetails","Aggr.","","","0..1","This Aggregate contains the same information as in Finvoice SOAP-frame.The invoice is routed according to SOAP information.If MessageTransmission Details elements are used, the data must be identical to SOAP information. See SOAP schema.","","",""
"2","MessageSenderDetails","Aggr.","","","1"," ","","",""
"3","FromIdentifier","string","Yes","2..35","1","Sender of the message","BT-34","Verkkolaskuosoite",""
"","Attribute: SchemeID","nmtoken","","1..10","0..1","Check instructions from EU Norm","BT-34","Välittäjätunnus",""
"3","FromIntermediator","string","","2..35","1","Intermediator of the sender","","",""
"2","MessageReceiverDetails","Aggr.","","","1","","","",""
"3","ToIdentifier","string","Yes","2..35","1","Receiver of the message","BT-49","Verkkolaskuosoite",""
"","Attribute: SchemeID","nmtoken","","1..10","0..1","Check instructions from EU Norm","BT-49","Välittäjätunnus",""
"3","ToIntermediator","string","","2..35","1","Intermediator of the receiver"," ","",""
"2","MessageDetails","Aggr.","","","1","","","",""
"3","MessageIdentifier","string","","2..48","1","Identifier of the message or batch","","",""
"3","MessageTimeStamp","dateTime","","19..25","1","Time stamp for the message or batch","","",""
"3","RefToMessageIdentifier","string","","0..48","0..1","Reference to the original message. Used in confirmation message","","",""
"3","ImplementationCode","string","","0..4","0..1","Code for industry specífic implementation. Toimialakohtaiset soveltamisohjeet mahdollisine tunnuksineen löytyvät Finvoice.info sivuilta.","BT-23","",""
"3","SpecificationIdentifier","string","","1..35","0..1","If invoice message comply with EU Norm, use value according to national instructions. E.g. in Finland EN16931 ","BT-24","",""
"1","SellerPartyDetails","Aggr.","","","1","Seller information","BG-4","Myyjä",""
"2","SellerPartyIdentifier","string","Yes","0..35","0..1","Identification of seller (Business Identity Code = Y-tunnus in Finnish form: nnnnnnn-n)","BT-30","Y-tunnus",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","BT-30","",""
"2","SellerPartyIdentifierUrlText","string","","0..512","0..1","Link to register published by National Board of Patents and Registration of Finland. There you can check if a business has been registered at the Trade Register or the Prepayment Register. See www.ytj.fi ","","",""
"2","SellerOrganisationName","string","","2..70","1..n","Seller name ","BT-27","",""
"2","SellerOrganisationTradingName","string","","2..70","0..1","A name by which the Seller is known, other than Seller name (also known as Business name).","BT-28","",""
"2","SellerOrganisationDepartment","string","","0..35","0..2","Department information eg. Deparment or Unit","","Osasto",""
"2","SellerOrganisationTaxCode","string","","0..35","0..1","Vat-number, (The Business Identity Code with FI as a prefix) FI999999999","BT-31","ALV-numero",""
"2","SellerOrganisationTaxCodeUrlText","string","","0..512","0..1","Link to the common website","","",""
"2","SellerCode","string","Yes","0..70","0..n","Other party identification than Business Identity Code ","  ","",""
"","Attribute: IdentifierType","token","","1..20","0..1","e.g. DUNS, GLN, EDI","","",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","BT-29","",""
"2","SellerPostalAddressDetails","Aggr.","","","0..1","Seller address information","BG-5","",""
"3","SellerStreetName","string","","2..35","1..3","Postal address","BT-35-36,BT-162","Postiosoite",""
"3","SellerTownName","string","","2..35","1","Name of the town","BT-37","",""
"3","SellerPostCodeIdentifier","string","","2..35","1","Post code","BT-38","",""
"3","SellerCountrySubdivision","string","","2..35","0..1","The subdivision of a country.","BT-39","",""
"3","CountryCode","nmtoken","","2","0..1","ISO 3166-1 country codes eg. FI, SE","BT-40","",""
"3","CountryName","string","","0..35","0..1","Country name","","",""
"3","SellerPostOfficeBoxIdentifier","string","","0..35","0..1","If the Seller have only PO box information, use SellerStreetName element instead of this element.","","",""
"1","SellerOrganisationUnitNumber","string","","0..35","0..1","OVT code (OVT-tunnus), (SFS)  SFS-standardin mukainen ovt-tunnus esim. 00371234567800001, jossa
0037  Suomen maakoodi
12345678  Y-tunnus ilman väliviivaa 8 merkkisenä
00001  Valinnainen tarkenne organisaatioyksikköä varten

","","OVT-tunnus",""
"1","SellerSiteCode","string","","0..35","0..1","Code for place of business","","Toimipiste",""
"1","SellerContactPersonName","string","","0..70","0..1","Contact person of seller","BT-41","Yhteyshenkilö",""
"1","SellerContactPersonFunction","string","","0..35","0..2","eg. title, remit","","",""
"1","SellerContactPersonDepartment","string","","0..35","0..2","Department information eg. Deparment or Unit","","",""
"1","SellerCommunicationDetails","Aggr.","","","0..1","Related to the contact person of seller","BG-6","",""
"2","SellerPhoneNumberIdentifier","string","","0..35","0..1","Phone number","BT-42","Puh",""
"2","SellerEmailaddressIdentifier","string","","0..70","0..1","email address","BT-43","E-mail",""
"1","SellerInformationDetails","Aggr.","","","0..1","Information related to the printing version of the invoice. This information is printed into the bottom of the invoice","","",""
"2","SellerOfficialPostalAddressDetails","Aggr.","","","0..1","Seller official address information.  kooste-elementissä annetaan mm. emoyhtiön virallinen osoite, jos se eroaa SellerPostalAddressDetailsin tiedoista.","","",""
"3","SellerOfficialStreetName","string","","2..35","1","Postal address","","",""
"3","SellerOfficialTownName","string","","2..35","1","Name of the town",""," ",""
"3","SellerOfficialPostCodeIdentifier","string","","2..35","1","Post code","","",""
"3","SellerOfficialCountrySubdivision","string","","2..35","0..1","The subdivision of a country.","","",""
